pickup_datetime,dropoff_datetime,trip_duration,trip_distance,total_amount,max_precipitation,avg_temperature
2016-05-28 11:02:02,2016-05-28 11:40:07,2285.0,17.23,70.01,0.0,29.1
2016-06-27 05:32:23,2016-06-27 06:01:36,1753.0,17.85,72.92,0.0,20.283333333333335
2016-06-10 13:11:06,2016-06-10 14:23:19,4333.0,18.06,70.01,0.0,19.616666666666667
2016-05-08 14:34:09,2016-05-08 15:29:25,3316.0,17.2,58.34,0.0,18.25
2016-05-06 10:32:09,2016-05-06 11:35:04,3775.0,17.8,58.34,27.48,7.525
2016-06-28 16:45:02,2016-06-28 18:07:04,4922.0,19.1,62.84,0.0,20.14666666666667
2016-06-17 07:07:36,2016-06-17 07:50:41,2585.0,17.79,70.01,0.0,21.3
2016-05-26 17:43:27,2016-05-26 19:40:45,7038.0,23.7,62.84,0.0,20.533333333333335
2016-05-21 04:20:27,2016-05-21 04:54:29,2042.0,18.1,58.34,0.0,10.0
2016-05-20 14:49:56,2016-05-20 16:09:29,4773.0,16.2,58.34,0.0,23.144444444444446
2016-06-17 18:33:06,2016-06-17 19:55:27,4941.0,16.3,62.84,0.0,16.4
2016-05-24 16:29:20,2016-05-24 18:08:57,5977.0,21.79,62.84,0.0,19.022222222222222
2016-05-11 13:56:00,2016-05-11 15:03:04,4024.0,0.0,70.0,0.0,19.488888888888887
2016-06-02 21:03:09,2016-06-02 21:44:57,2508.0,16.9,52.8,0.0,13.475
2016-06-13 15:04:31,2016-06-13 16:01:36,3425.0,16.7,58.34,0.0,22.85
2016-05-13 15:50:03,2016-05-13 17:35:10,6307.0,15.9,52.8,2.99,8.38
2016-05-14 10:56:40,2016-05-14 11:31:39,2099.0,17.17,70.01,0.0,21.4
2016-06-10 18:00:51,2016-06-10 19:11:27,4236.0,16.3,57.3,0.0,20.1
2016-05-19 10:04:58,2016-05-19 10:51:30,2792.0,17.4,58.34,0.0,18.333333333333332
2016-06-26 09:02:54,2016-06-26 09:36:01,1987.0,17.5,58.34,0.0,9.066666666666666
2016-05-27 08:25:34,2016-05-27 09:21:26,3352.0,0.0,69.99,0.0,24.066666666666666
