#DEBUG: Format Typ    -> tdf
#DEBUG: Time Period   -> 2014-12-01 00:00:00+00:00 2017-01-31 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station	valid	tmpc	p01m
JFK	2014-12-01 00:51	10.60	  0.0
NYC	2014-12-01 00:51	12.20	  0.0
LGA	2014-12-01 00:51	11.70	  0.0
JFK	2014-12-01 01:51	10.60	  0.0
LGA	2014-12-01 01:51	11.70	  0.0
NYC	2014-12-01 01:51	12.20	  0.0
LGA	2014-12-01 02:51	11.70	  0.0
JFK	2014-12-01 02:51	10.60	  0.0
NYC	2014-12-01 02:51	12.20	  0.0
JFK	2014-12-01 03:51	10.00	  0.0
NYC	2014-12-01 03:51	12.80	  0.0
LGA	2014-12-01 03:51	12.20	  0.0
LGA	2014-12-01 04:51	12.20	  0.0
NYC	2014-12-01 04:51	12.20	  0.0
JFK	2014-12-01 04:51	9.40	  0.0
JFK	2014-12-01 05:51	10.00	  0.0
LGA	2014-12-01 05:51	12.80	  0.0
NYC	2014-12-01 05:51	12.20	  0.0
LGA	2014-12-01 06:51	12.80	  0.0
NYC	2014-12-01 06:51	12.80	  0.0
JFK	2014-12-01 06:51	10.00	  0.0
JFK	2014-12-01 07:51	8.90	  0.0
NYC	2014-12-01 07:51	13.30	  0.0
LGA	2014-12-01 07:51	12.20	  0.0
JFK	2014-12-01 08:51	8.30	  0.0
LGA	2014-12-01 08:51	12.20	  0.0
NYC	2014-12-01 08:51	12.80	  0.0
JFK	2014-12-01 09:51	11.70	  0.0
NYC	2014-12-01 09:51	12.20	  0.0
LGA	2014-12-01 09:51	12.80	  0.0
JFK	2014-12-01 10:51	11.10	  0.0
NYC	2014-12-01 10:51	12.20	  0.0
LGA	2014-12-01 10:51	12.20	  0.0
NYC	2014-12-01 11:51	12.20	  0.0
JFK	2014-12-01 11:51	10.00	  0.0
LGA	2014-12-01 11:51	11.70	  0.0
LGA	2014-12-01 12:51	12.20	  0.0
JFK	2014-12-01 12:51	12.20	  0.0
NYC	2014-12-01 12:51	12.20	  0.0
NYC	2014-12-01 13:51	12.80	  0.0
LGA	2014-12-01 13:51	13.30	  0.0
JFK	2014-12-01 13:51	12.80	  0.0
LGA	2014-12-01 14:51	13.90	  0.0
JFK	2014-12-01 14:51	12.80	  0.0
NYC	2014-12-01 14:51	13.90	  0.0
JFK	2014-12-01 15:51	14.40	  0.0
LGA	2014-12-01 15:51	15.60	  0.0
NYC	2014-12-01 15:51	16.10	  0.0
NYC	2014-12-01 16:51	16.70	  0.0
JFK	2014-12-01 16:51	15.00	  0.0
LGA	2014-12-01 16:51	16.10	  0.0
NYC	2014-12-01 17:51	17.20	  0.0
LGA	2014-12-01 17:51	17.20	  0.0
JFK	2014-12-01 17:51	15.60	  0.0
NYC	2014-12-01 18:51	17.80	  0.0
JFK	2014-12-01 18:51	16.10	  0.0
LGA	2014-12-01 18:51	17.20	  0.0
JFK	2014-12-01 19:51	16.70	  0.0
NYC	2014-12-01 19:51	16.70	  0.0
LGA	2014-12-01 19:51	15.60	  0.0
JFK	2014-12-01 20:41	16.00	  0.0
JFK	2014-12-01 20:51	15.00	  0.0
LGA	2014-12-01 20:51	12.80	  0.0
NYC	2014-12-01 20:51	13.30	  0.0
NYC	2014-12-01 21:00	13.30	  0.0
NYC	2014-12-01 21:13	12.80	  0.0
JFK	2014-12-01 21:51	13.30	  0.0
NYC	2014-12-01 21:51	11.10	  0.0
LGA	2014-12-01 21:51	11.70	  0.0
LGA	2014-12-01 22:51	8.90	  0.0
JFK	2014-12-01 22:51	11.10	  0.0
NYC	2014-12-01 22:51	8.30	 0.29
LGA	2014-12-01 23:51	7.80	  1.2
NYC	2014-12-01 23:51	7.20	  1.2
JFK	2014-12-01 23:51	8.90	  0.6
JFK	2014-12-02 00:51	7.80	  0.6
NYC	2014-12-02 00:51	6.70	 0.29
LGA	2014-12-02 00:51	7.20	  0.0
NYC	2014-12-02 01:51	6.10	  0.6
LGA	2014-12-02 01:51	6.70	 0.29
JFK	2014-12-02 01:51	7.20	 0.29
LGA	2014-12-02 02:51	6.70	  0.0
NYC	2014-12-02 02:51	6.10	 0.29
JFK	2014-12-02 02:51	6.70	  0.6
LGA	2014-12-02 03:51	5.60	  0.0
NYC	2014-12-02 03:51	6.10	  0.0
JFK	2014-12-02 03:51	6.10	  0.0
LGA	2014-12-02 04:51	5.00	  0.0
NYC	2014-12-02 04:51	5.60	  0.0
JFK	2014-12-02 04:51	5.60	  0.0
JFK	2014-12-02 05:51	5.00	  0.0
NYC	2014-12-02 05:51	5.00	  0.0
LGA	2014-12-02 05:51	4.40	  0.0
NYC	2014-12-02 06:51	4.40	  0.0
JFK	2014-12-02 06:51	4.40	  0.0
LGA	2014-12-02 06:51	3.90	  0.0
LGA	2014-12-02 07:51	3.90	  0.0
NYC	2014-12-02 07:51	3.90	  0.0
JFK	2014-12-02 07:51	4.40	  0.0
LGA	2014-12-02 08:51	3.30	  0.0
JFK	2014-12-02 08:51	3.90	  0.0
NYC	2014-12-02 08:51	3.30	  0.0
NYC	2014-12-02 09:51	2.80	  0.0
LGA	2014-12-02 09:51	2.80	  0.0
JFK	2014-12-02 09:51	3.30	  0.0
JFK	2014-12-02 10:51	2.80	  0.0
NYC	2014-12-02 10:51	2.20	  0.0
LGA	2014-12-02 10:51	1.70	  0.0
JFK	2014-12-02 11:51	2.20	  0.0
NYC	2014-12-02 11:51	1.70	  0.0
LGA	2014-12-02 11:51	1.70	  0.0
JFK	2014-12-02 12:51	2.20	  0.0
NYC	2014-12-02 12:51	1.70	  0.0
LGA	2014-12-02 12:51	1.70	  0.0
NYC	2014-12-02 13:51	2.80	  0.0
LGA	2014-12-02 13:51	1.70	  0.0
JFK	2014-12-02 13:51	3.30	  0.0
NYC	2014-12-02 14:51	3.30	  0.0
JFK	2014-12-02 14:51	3.90	  0.0
LGA	2014-12-02 14:51	3.30	  0.0
JFK	2014-12-02 15:51	5.00	  0.0
LGA	2014-12-02 15:51	3.90	  0.0
NYC	2014-12-02 15:51	3.90	  0.0
JFK	2014-12-02 16:24	6.00	  0.0
LGA	2014-12-02 16:51	5.00	  0.0
JFK	2014-12-02 16:51	5.60	  0.0
NYC	2014-12-02 16:51	4.40	  0.0
NYC	2014-12-02 17:22	4.40	  0.0
NYC	2014-12-02 17:51	3.90	  0.0
JFK	2014-12-02 17:51	5.00	  0.0
LGA	2014-12-02 17:51	5.00	  0.0
LGA	2014-12-02 18:41	4.00	 0.75
LGA	2014-12-02 18:51	3.90	  0.6
NYC	2014-12-02 18:51	3.30	 0.29
