#DEBUG: Format Typ    -> tdf
#DEBUG: Time Period   -> 2015-01-01 00:00:00+00:00 2015-01-12 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station	valid	lon	lat	 tmpc 	  dwpc 	  relh 	  drct 	  sped 	  p01m 	  vsby 	  gust_mph
JFK	2015-01-01 00:51	-73.7622	40.6386	-0.60	-13.90	35.84	250.00	15.0	0.00	10.00	M
NYC	2015-01-01 00:51	-73.9693	40.7790	-1.10	-13.90	37.17	260.00	4.6	0.00	10.00	M
LGA	2015-01-01 00:51	-73.8803	40.7794	-1.10	-13.90	37.17	250.00	10.4	0.00	10.00	M
LGA	2015-01-01 01:51	-73.8803	40.7794	-1.10	-14.40	35.68	240.00	13.8	0.00	10.00	19.6
NYC	2015-01-01 01:51	-73.9693	40.7790	-1.10	-14.40	35.68	240.00	3.5	0.00	10.00	M
JFK	2015-01-01 01:51	-73.7622	40.6386	-0.60	-13.30	37.63	250.00	12.7	0.00	10.00	M
JFK	2015-01-01 02:51	-73.7622	40.6386	-1.10	-11.10	46.59	230.00	15.0	0.00	10.00	M
LGA	2015-01-01 02:51	-73.8803	40.7794	-1.70	-12.80	42.48	230.00	11.5	0.00	10.00	M
NYC	2015-01-01 02:51	-73.9693	40.7790	-1.10	-13.30	39.03	M	4.6	0.00	10.00	M
JFK	2015-01-01 03:51	-73.7622	40.6386	-0.60	-10.60	46.74	240.00	18.4	0.00	10.00	M
LGA	2015-01-01 03:51	-73.8803	40.7794	-1.70	-12.20	44.58	230.00	11.5	0.00	10.00	M
NYC	2015-01-01 03:51	-73.9693	40.7790	-1.70	-12.80	42.48	M	M	0.00	10.00	M
NYC	2015-01-01 04:51	-73.9693	40.7790	-2.20	-12.80	44.07	M	4.6	0.00	10.00	M
JFK	2015-01-01 04:51	-73.7622	40.6386	-1.10	-11.70	44.41	260.00	15.0	0.00	10.00	M
LGA	2015-01-01 04:51	-73.8803	40.7794	-1.70	-12.80	42.48	240.00	9.2	0.00	10.00	M
LGA	2015-01-01 05:51	-73.8803	40.7794	-1.70	-13.90	38.85	230.00	8.1	0.00	10.00	18.4
NYC	2015-01-01 05:51	-73.9693	40.7790	-2.20	-13.30	42.32	250.00	10.4	0.00	10.00	17.3
JFK	2015-01-01 05:51	-73.7622	40.6386	-1.70	-11.70	46.41	260.00	12.7	0.00	10.00	M
NYC	2015-01-01 06:51	-73.9693	40.7790	-2.20	-12.20	46.26	250.00	9.2	0.00	10.00	19.6
JFK	2015-01-01 06:51	-73.7622	40.6386	-1.70	-10.60	50.66	250.00	13.8	0.00	10.00	M
LGA	2015-01-01 06:51	-73.8803	40.7794	-2.20	-12.80	44.07	230.00	11.5	0.00	10.00	M
NYC	2015-01-01 07:51	-73.9693	40.7790	-2.80	-12.80	46.08	270.00	6.9	0.00	10.00	M
JFK	2015-01-01 07:51	-73.7622	40.6386	-1.70	-11.70	46.41	250.00	13.8	0.00	10.00	M
LGA	2015-01-01 07:51	-73.8803	40.7794	-2.20	-13.90	40.31	250.00	8.1	0.00	10.00	25.3
LGA	2015-01-01 08:51	-73.8803	40.7794	-2.20	-14.40	38.69	250.00	15.0	0.00	10.00	25.3
NYC	2015-01-01 08:51	-73.9693	40.7790	-2.80	-13.90	42.14	M	3.5	0.00	10.00	M
JFK	2015-01-01 08:51	-73.7622	40.6386	-1.70	-13.30	40.79	260.00	17.3	0.00	10.00	M
JFK	2015-01-01 09:51	-73.7622	40.6386	-1.70	-13.90	38.85	270.00	13.8	0.00	10.00	23.0
LGA	2015-01-01 09:51	-73.8803	40.7794	-2.20	-14.40	38.69	270.00	15.0	0.00	10.00	25.3
NYC	2015-01-01 09:51	-73.9693	40.7790	-2.80	-14.40	40.45	M	3.5	0.00	10.00	M
NYC	2015-01-01 10:51	-73.9693	40.7790	-2.80	-13.90	42.14	M	M	0.00	10.00	M
JFK	2015-01-01 10:51	-73.7622	40.6386	-2.20	-13.30	42.32	260.00	16.1	0.00	10.00	20.7
LGA	2015-01-01 10:51	-73.8803	40.7794	-2.20	-14.40	38.69	270.00	11.5	0.00	10.00	20.7
LGA	2015-01-01 11:51	-73.8803	40.7794	-2.20	-14.40	38.69	260.00	12.7	0.00	10.00	20.7
JFK	2015-01-01 11:51	-73.7622	40.6386	-1.70	-14.40	37.29	280.00	13.8	0.00	10.00	23.0
NYC	2015-01-01 11:51	-73.9693	40.7790	-2.80	-13.90	42.14	M	3.5	0.00	10.00	M
JFK	2015-01-01 12:51	-73.7622	40.6386	-1.70	-12.80	42.48	260.00	13.8	0.00	10.00	M
LGA	2015-01-01 12:51	-73.8803	40.7794	-2.20	-14.40	38.69	250.00	12.7	0.00	10.00	25.3
NYC	2015-01-01 12:51	-73.9693	40.7790	-2.80	-13.90	42.14	M	6.9	0.00	10.00	M
LGA	2015-01-01 13:51	-73.8803	40.7794	-2.20	-15.00	36.83	250.00	17.3	0.00	10.00	25.3
JFK	2015-01-01 13:51	-73.7622	40.6386	-0.60	-13.90	35.84	270.00	11.5	0.00	10.00	M
NYC	2015-01-01 13:51	-73.9693	40.7790	-2.20	-14.40	38.69	0.00	0.0	0.00	10.00	M
LGA	2015-01-01 14:51	-73.8803	40.7794	-1.10	-14.40	35.68	260.00	15.0	0.00	10.00	M
JFK	2015-01-01 14:51	-73.7622	40.6386	0.60	-15.00	30.02	270.00	17.3	0.00	10.00	M
NYC	2015-01-01 14:51	-73.9693	40.7790	-1.10	-14.40	35.68	260.00	5.8	0.00	10.00	M
NYC	2015-01-01 15:51	-73.9693	40.7790	-0.60	-14.40	34.40	M	3.5	0.00	10.00	23.0
LGA	2015-01-01 15:51	-73.8803	40.7794	-0.60	-14.40	34.40	240.00	17.3	0.00	10.00	M
JFK	2015-01-01 15:51	-73.7622	40.6386	1.10	-13.90	31.69	250.00	13.8	0.00	10.00	23.0
NYC	2015-01-01 16:51	-73.9693	40.7790	0.60	-13.90	32.85	260.00	11.5	0.00	10.00	20.7
JFK	2015-01-01 16:51	-73.7622	40.6386	2.20	-13.30	30.76	240.00	26.5	0.00	10.00	31.1
LGA	2015-01-01 16:51	-73.8803	40.7794	0.60	-13.90	32.85	240.00	18.4	0.00	10.00	28.8
LGA	2015-01-01 17:51	-73.8803	40.7794	2.20	-13.30	30.76	230.00	16.1	0.00	10.00	24.2
NYC	2015-01-01 17:51	-73.9693	40.7790	1.70	-13.90	30.35	260.00	10.4	0.00	10.00	20.7
JFK	2015-01-01 17:51	-73.7622	40.6386	3.30	-12.80	29.62	240.00	23.0	0.00	10.00	29.9
JFK	2015-01-01 18:51	-73.7622	40.6386	3.90	-11.70	31.02	240.00	17.3	0.00	10.00	M
NYC	2015-01-01 18:51	-73.9693	40.7790	2.80	-13.90	28.07	M	6.9	0.00	10.00	21.9
LGA	2015-01-01 18:51	-73.8803	40.7794	2.80	-13.90	28.07	270.00	13.8	0.00	10.00	M
LGA	2015-01-01 19:51	-73.8803	40.7794	3.30	-12.80	29.62	240.00	15.0	0.00	10.00	25.3
NYC	2015-01-01 19:51	-73.9693	40.7790	3.30	-13.30	28.45	260.00	9.2	0.00	10.00	28.8
JFK	2015-01-01 19:51	-73.7622	40.6386	4.40	-11.10	31.42	240.00	19.6	0.00	10.00	28.8
LGA	2015-01-01 20:51	-73.8803	40.7794	3.30	-11.70	32.36	240.00	15.0	0.00	10.00	21.9
JFK	2015-01-01 20:51	-73.7622	40.6386	3.90	-10.00	35.51	240.00	19.6	0.00	10.00	25.3
NYC	2015-01-01 20:51	-73.9693	40.7790	3.90	-12.20	29.80	250.00	8.1	0.00	10.00	20.7
LGA	2015-01-01 21:51	-73.8803	40.7794	3.30	-10.60	35.33	230.00	12.7	0.00	10.00	M
NYC	2015-01-01 21:51	-73.9693	40.7790	3.90	-11.70	31.02	250.00	11.5	0.00	10.00	18.4
JFK	2015-01-01 21:51	-73.7622	40.6386	3.90	-8.90	38.72	230.00	23.0	0.00	10.00	29.9
NYC	2015-01-01 22:51	-73.9693	40.7790	3.90	-10.60	33.87	M	6.9	0.00	10.00	17.3
LGA	2015-01-01 22:51	-73.8803	40.7794	3.30	-10.00	37.05	230.00	13.8	0.00	10.00	20.7
JFK	2015-01-01 22:51	-73.7622	40.6386	3.90	-8.30	40.57	220.00	21.9	0.00	10.00	28.8
NYC	2015-01-01 23:51	-73.9693	40.7790	3.90	-10.60	33.87	0.00	0.0	0.00	10.00	M
JFK	2015-01-01 23:51	-73.7622	40.6386	3.90	-8.30	40.57	220.00	18.4	0.00	10.00	M
LGA	2015-01-01 23:51	-73.8803	40.7794	3.30	-10.00	37.05	230.00	15.0	0.00	10.00	26.5
JFK	2015-01-02 00:51	-73.7622	40.6386	3.30	-8.30	42.32	220.00	21.9	0.00	10.00	M
NYC	2015-01-02 00:51	-73.9693	40.7790	3.30	-9.40	38.84	M	6.9	0.00	10.00	16.1
LGA	2015-01-02 00:51	-73.8803	40.7794	3.30	-8.90	40.39	230.00	15.0	0.00	10.00	21.9
LGA	2015-01-02 01:51	-73.8803	40.7794	2.80	-8.30	43.85	210.00	12.7	0.00	10.00	21.9
NYC	2015-01-02 01:51	-73.9693	40.7790	3.30	-8.90	40.39	250.00	9.2	0.00	10.00	M
JFK	2015-01-02 01:51	-73.7622	40.6386	3.90	-7.80	42.18	230.00	20.7	0.00	10.00	28.8
NYC	2015-01-02 02:51	-73.9693	40.7790	3.30	-8.90	40.39	240.00	8.1	0.00	10.00	M
JFK	2015-01-02 02:51	-73.7622	40.6386	3.30	-7.20	46.09	230.00	20.7	0.00	10.00	27.6
LGA	2015-01-02 02:51	-73.8803	40.7794	3.30	-8.30	42.32	220.00	17.3	0.00	10.00	23.0
JFK	2015-01-02 03:51	-73.7622	40.6386	2.80	-6.70	49.62	230.00	16.1	0.00	10.00	M
LGA	2015-01-02 03:51	-73.8803	40.7794	3.30	-7.80	44.00	230.00	10.4	0.00	10.00	M
NYC	2015-01-02 03:51	-73.9693	40.7790	3.30	-8.30	42.32	260.00	10.4	0.00	10.00	17.3
NYC	2015-01-02 04:51	-73.9693	40.7790	2.80	-8.30	43.85	240.00	10.4	0.00	10.00	23.0
LGA	2015-01-02 04:51	-73.8803	40.7794	2.80	-7.80	45.58	240.00	16.1	0.00	10.00	M
JFK	2015-01-02 04:51	-73.7622	40.6386	2.20	-5.60	56.32	250.00	10.4	0.00	10.00	M
LGA	2015-01-02 05:51	-73.8803	40.7794	2.80	-8.30	43.85	240.00	12.7	0.00	10.00	M
JFK	2015-01-02 05:51	-73.7622	40.6386	1.70	-5.60	58.37	230.00	12.7	0.00	10.00	M
NYC	2015-01-02 05:51	-73.9693	40.7790	3.30	-9.40	38.84	250.00	8.1	0.00	10.00	21.9
LGA	2015-01-02 06:51	-73.8803	40.7794	3.30	-9.40	38.84	270.00	15.0	0.00	10.00	21.9
JFK	2015-01-02 06:51	-73.7622	40.6386	2.80	-6.70	49.62	250.00	12.7	0.00	10.00	M
NYC	2015-01-02 06:51	-73.9693	40.7790	2.80	-8.90	41.84	260.00	8.1	0.00	10.00	M
JFK	2015-01-02 07:51	-73.7622	40.6386	2.20	-5.00	58.94	240.00	12.7	0.00	10.00	M
LGA	2015-01-02 07:51	-73.8803	40.7794	3.30	-9.40	38.84	260.00	16.1	0.00	10.00	24.2
NYC	2015-01-02 07:51	-73.9693	40.7790	2.80	-8.90	41.84	M	6.9	0.00	10.00	M
LGA	2015-01-02 08:51	-73.8803	40.7794	3.30	-9.40	38.84	250.00	16.1	0.00	10.00	20.7
